"start";"end";"I1_min";"I1_max";"I2_min";"I2_max";"I3_min";"I3_max";"U12_min";"U12_max";"U23_min";"U23_max";"U31_min";"U31_max"
"08.07.2018 03:18:14.986357";"08.07.2018 03:18:14.986558";-57,58314;-54,94547;2,118381;8,49075;48,46384;52,14986;-25698,35;-21669,16;-25908,21;-21938,34;47577,38;47725,6
"08.07.2018 03:18:14.986558";"08.07.2018 03:18:14.986758";-54,94547;-52,51537;-1,90573;2,118381;52,14986;53,82535;-21669,16;-19847,97;-27505,84;-25908,21;47353,81;47577,38
"08.07.2018 03:18:14.986758";"08.07.2018 03:18:14.986959";-52,51537;-49,67942;-6,160358;-1,90573;53,82535;55,38887;-19847,97;-18131,19;-28856,77;-27505,84;46987,96;47353,81
"08.07.2018 03:18:14.986959";"08.07.2018 03:18:14.987159";-49,67942;-44,29757;-13,87579;-6,160358;55,38887;58,13725;-18131,19;-14290,25;-31876,85;-28856,77;46167,11;46987,96
"08.07.2018 03:18:14.987159";"08.07.2018 03:18:14.987359";-44,29757;-42,29032;-16,78555;-13,87579;58,13725;59,26478;-14290,25;-11856,6;-33620,22;-31876,85;45476,82;46167,11
"08.07.2018 03:18:14.987359";"08.07.2018 03:18:14.987560";-42,29032;-40,77271;-18,98649;-16,78555;59,26478;60,15159;-11856,6;-9259,065;-35476,36;-33620,22;44735,43;45476,82
"08.07.2018 03:18:14.987560";"08.07.2018 03:18:14.987760";-40,77271;-39,50575;-20,65746;-18,98649;60,15159;60,71441;-9259,065;-6807,251;-37055,36;-35476,36;43862,61;44735,43
"08.07.2018 03:18:14.987760";"08.07.2018 03:18:14.987961";-39,50575;-36,2776;-23,6251;-20,65746;60,57047;60,87053;-6807,251;-1700,231;-40108,41;-37055,36;41808,64;43862,61
"08.07.2018 03:18:14.987961";"08.07.2018 03:18:14.988161";-36,2776;-33,73471;-25,48701;-23,6251;59,83249;60,57047;-1700,231;534,9448;-41275,61;-40108,41;40740,67;41808,64
"08.07.2018 03:18:14.988161";"08.07.2018 03:18:14.988362";-33,73471;-30,48811;-27,79427;-25,48701;58,76383;59,83249;534,9448;2744,902;-42342,61;-41275,61;39597,7;40740,67
"08.07.2018 03:18:14.988362";"08.07.2018 03:18:14.988562";-30,48811;-22,87121;-33,50476;-27,79427;56,44455;58,76383;2744,902;6663,114;-44040,31;-42342,61;37377,2;39597,7
"08.07.2018 03:18:14.988562";"08.07.2018 03:18:14.988762";-22,87121;-19,23826;-36,58223;-33,50476;55,65175;56,44455;6663,114;8754,083;-44754,11;-44040,31;36000,03;37377,2
"08.07.2018 03:18:14.988762";"08.07.2018 03:18:14.988963";-19,23826;-16,11907;-39,58226;-36,58223;55,31039;55,65175;8754,083;11067,75;-45467,99;-44754,11;34400,23;36000,03
"08.07.2018 03:18:14.988963";"08.07.2018 03:18:14.989163";-16,11907;-13,58019;-42,40472;-39,58226;55,31039;55,41279;11067,75;13757,05;-46252,48;-45467,99;32495,42;34400,23
"08.07.2018 03:18:14.989163";"08.07.2018 03:18:14.989364";-13,58019;-9,440093;-47,46255;-42,40472;55,41279;56,17152;13757,05;18888,25;-47306,27;-46252,48;28418,02;32495,42
"08.07.2018 03:18:14.989364";"08.07.2018 03:18:14.989564";-9,440093;-7,131978;-49,7667;-47,46255;56,17152;56,21141;18888,25;21434,3;-47664,32;-47306,27;26230,02;28418,02
"08.07.2018 03:18:14.989564";"08.07.2018 03:18:14.989765";-7,131978;-4,238382;-51,96145;-49,7667;55,63832;56,21141;21434,3;23574,44;-47751,32;-47664,32;24176,89;26230,02
"08.07.2018 03:18:14.989765";"08.07.2018 03:18:14.989965";-4,238382;3,546155;-55,96903;-51,96145;52,30443;55,63832;23574,44;27229,07;-47751,32;-47449,54;20220,47;24176,89
"08.07.2018 03:18:14.989965";"08.07.2018 03:18:14.990165";3,546155;8,031721;-57,70543;-55,96903;49,82832;52,30443;27229,07;28621,6;-47449,54;-47214,7;18593,09;20220,47
"08.07.2018 03:18:14.990165";"08.07.2018 03:18:14.990366";8,031721;12,42266;-59,22108;-57,70543;47,22432;49,82832;28621,6;29981,6;-47214,7;-46854,7;16873,1;18593,09
